Country,ArtistCount
Algeria,1
Argentina,90
Australia,24
Austria,159
Belgium,150
Benin,1
Bolivia,1
Bosnia and Herzegovina,3
Brazil,124
Bulgaria,1
Burkina Faso,1
Cameroon,4
Canada,140
Chile,64
China,54
Colombia,25
Congo,7
Croatia,43
Cuba,19
Czechia,76
Denmark,57
Ecuador,1
Egypt,9
El Salvador,1
Ethiopia,2
Finland,37
France,2592
Georgia,9
Germany,1528
Ghana,3
Greece,6
Guatemala,11
Haiti,3
Hungary,35
Iceland,11
India,30
Iran,3
Ireland,5
Israel,25
Italy,272
Ivory Coast,124
Japan,348
Latvia,10
Lebanon,17
Lithuania,3
Luxembourg,14
Malaysia,2
Mali,2
Mexico,153
Morocco,4
Mozambique,1
Namibia,1
Netherlands,250
New Zealand
